"Project Identifier","Group","Identifier","Title","PI","Requester","Lead Analyst","Analyst","Status","Assistance Type","Expertise","Submission Date","COVID-19 Related"
"CCBR-973","CCBR","973","Mutational analysis of BRCA2 gene","Shyam Sharan","Kajal Biswas","--","--","Completed","Data Analysis","Other","Jan 24, 2019","No"
"CCBR-972","CCBR","972","Role of Epigenetic Modifications in Mesothelioma Pathogenesis","Chuong Hoang","Anand Singh","Richard Finney","--","Completed","Data Analysis","ATAC-Seq","Jan 23, 2019","No"
"CCBR-971","CCBR","971","Mutational analysis of BRCA2 gene","Shyam Sharan","Kajal Biswas","--","--","Completed","Data Analysis","Other","Jan 18, 2019","No"
"CCBR-970","CCBR","970","Lineage choice of autoreactive thymocytes","Alfred Singer","Xuguang Tai","Nathan Wong","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Jan 17, 2019","No"
"CCBR-968","CCBR","968","genomic defects in antigen processing and presentation machinery, and splice variants in potential TCR targets in lymphomas","Christian Hinrichs","Andrew Sinkoe","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq;Whole Exome Sequencing","Jan 15, 2019","No"
"CCBR-967","CCBR","967","Assessment of TIMP2 and correlating gene levels in normal and tumor tissues.","William Stetler-stevenson","David Peeney","Daoud Meerzaman","Yu Fan","Re Assigned","Data Analysis","Bulk RNA-seq","Jan 10, 2019","No"
"CCBR-966","CCBR","966","gp78 breast cancer","Allan Weissman","Allan Weissman","Daoud Meerzaman","--","Re Assigned","Data Analysis","Bulk RNA-seq","Jan 10, 2019","No"
"CCBR-965","CCBR","965","BRCA1 protects against genomic instability driven by active transcription","Paul Meltzer","Fan Yang","Alexei Lobanov","--","Completed","Data Analysis","ChIP-Seq","Dec 21, 2018","No"
"CCBR-964","CCBR","964","PDX_RNAseq","David Schrump","Sudheer Gara","--","--","Completed","Data Analysis","Bulk RNA-seq","Dec 19, 2018","No"
"CCBR-963","CCBR","963","IL7R and NRAS","Scott Durum","Hila Winer Yanai","Daoud Meerzaman","--","Re Assigned","Experimental Design","Bulk RNA-seq","Dec 19, 2018","No"
"CCBR-962","CCBR","962","RNA targeting","John Schneekloth","John Schneekloth","Philip Homan","--","Completed","Data Analysis","Bulk RNA-seq","Dec 19, 2018","No"
"CCBR-961","CCBR","961","Canine Osteosarcoma","Javed Khan","Javed Khan","Skyler Kuhn","--","Completed","Data Analysis","Bulk RNA-seq","Dec 15, 2018","No"
"CCBR-960","CCBR","960","WES for tumor mutational burden (TMB)","Jung-min Lee","Jung-min Lee","--","--","Completed","Data Analysis","Whole Exome Sequencing","Dec 11, 2018","No"
"CCBR-959","CCBR","959","RNAseq analysis","Federico Bernal","Francisco Aguilar Alonso","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Nov 16, 2018","No"
"CCBR-958","CCBR","958","WGS_OS1","Jing Huang","Jing Huang","--","--","Cancelled","Data Analysis","Whole Genome Sequencing","Nov 13, 2018","No"
"CCBR-957","CCBR","957","CS023431 (SS enhancer K562)","Dennis Hickstein","Robert West","Justin Lack","--","Completed","Data Analysis","Bulk RNA-seq","Nov 09, 2018","No"
"CCBR-956","CCBR","956","WGS-lung","Yinling Hu","Xin Li","--","--","Cancelled","Experimental Design","Whole Genome Sequencing","Nov 07, 2018","No"
"CCBR-699","CCBR","699","RNA-Seq: Effect of CD47 blocking agents on breast cancer cell lines","David Roberts","Sukhbir Kaur","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Oct 26, 2018","No"
"CCBR-955","CCBR","955","Regulation of CLIC4 by miR-142-3p","Stuart Yuspa","Brandi Carofino","Nathan Wong","--","Completed","Data Analysis","Data Mining/Management/Integration","Oct 16, 2018","No"
"CCBR-954","CCBR","954","ILCs in HCC - Korangy Heinrich","Tim Greten","Bernd Heinrich","Ying Hu","--","Re Assigned","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Oct 12, 2018","No"
"CCBR-953","CCBR","953","Resistance to Protease Inhibitors in Kaposi Sarcoma","Michael Gottesman","Fatima Ali-Rahmani","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Oct 11, 2018","No"
"CCBR-952","CCBR","952","RNA-Seq of human T cells genetically modified","Nicholas Restifo","Douglas Palmer","Daoud Meerzaman","--","Re Assigned","Data Analysis","Bulk RNA-seq","Oct 09, 2018","No"
"CCBR-950","CCBR","950","Overcoming FIP1C KO","Eric Freed","Melissa Fernandez","Daoud Meerzaman","--","Re Assigned","Data Analysis","Bulk RNA-seq","Oct 03, 2018","No"
"CCBR-692","CCBR","692","TCR Clonotype analyses on 10X platform","Remy Bosselut","Thomas Ciucci","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Sep 28, 2018","No"
"CCBR-949","CCBR","949","Human liver PDC","Xin Wang","Anuradha Budhu","--","--","Cancelled","Data Analysis","Whole Exome Sequencing;Bulk RNA-seq","Sep 25, 2018","No"
"CCBR-948","CCBR","948","Analysis for the differentially expressed genes (DEG) in kidney cancer and normal cell lines","Ramaprasad Srinivasan","Roma Pahwa","Alexei Lobanov","--","Completed","Data Analysis","Bulk RNA-seq","Aug 30, 2018","No"
"CCBR-947","CCBR","947","Analysis for the differentially expressed genes (DEG) after drug treatment with SNX2112 and Dasatinib in UOK-345 and UOK-342","Ramaprasad Srinivasan","Roma Pahwa","Alexei Lobanov","--","Completed","Data Analysis","Bulk RNA-seq","Aug 30, 2018","No"
"CCBR-946","CCBR","946","Targeted drug delivery in endocrine tumors","Naris Nilubol","Myriem Boufraqech","Daoud Meerzaman","--","Re Assigned","Data Analysis","Bulk RNA-seq","Aug 30, 2018","No"
"CCBR-945","CCBR","945","SUM149 emboli shCEBPD","Gisela Sterneck","Gisela Sterneck","--","--","Completed","Data Analysis","Bulk RNA-seq","Aug 22, 2018","No"
"CCBR-831","CCBR","831","Epigenetic Regulation of gene expression by Lsh","Kathrin Muegge","Kathrin Muegge","Richard Finney","--","Completed","Data Analysis","Bulk RNA-seq;ChIP-Seq;Data Mining/Management/Integration","Aug 22, 2018","No"
"CCBR-561","CCBR","561","TCGA data mining: TEM7 expression & survival","Bradley St Croix","Kuo-sheng Hsu","--","--","Completed","Data Analysis","Data Mining/Management/Integration","Aug 21, 2018","No"
"CCBR-944","CCBR","944","P vs W microarray","Terry Fry","Kazusa Ishii","Skyler Kuhn","--","Completed","Data Analysis","Microarray","Aug 17, 2018","No"
"CCBR-943","CCBR","943","NGS of amplified library","Shyam Sharan","Kajal Biswas","Nathan Wong","--","Completed","Data Analysis","Other","Aug 09, 2018","No"
"CCBR-941","CCBR","941","Integrated analysis of RNAseq and WES of lung tumor samples","Curtis Harris","Amelia Parker","Skyler Kuhn","--","Completed","Data Analysis","Whole Exome Sequencing","Aug 08, 2018","No"
"CCBR-940","CCBR","940","TCRb repertoire analysis","Alfred Singer","Tejas Kadakia","Daoud Meerzaman","--","Re Assigned","Data Analysis","Other","Jul 31, 2018","No"
"CCBR-939","CCBR","939","Gene expression microarray analysis of Nihon rat normal/ kidney tumor samples","William Linehan","Laura Schmidt","Skyler Kuhn","--","Completed","Data Analysis","Microarray","Jul 27, 2018","No"
"CCBR-938","CCBR","938","Effect of APOL1 risk alleles on preeclampsia","Cheryl Winkler","George Nelson","George Nelson","--","Completed","Data Analysis","Other","Jul 13, 2018","No"
"CCBR-937","CCBR","937","Investigating the role of HMGNs in immune cell plasticity","Michael Bustin","Ravikanth Nanduri","Alexei Lobanov","--","Completed","Data Analysis","ATAC-Seq;Bulk RNA-seq;ChIP-Seq","Jul 12, 2018","No"
"CCBR-936","CCBR","936","Analysis of BCR repertoire in mouse models of lymphoma","Jagan Muppidi","Jagan Muppidi","Daoud Meerzaman","--","Re Assigned","Data Analysis","Bulk RNA-seq","Jul 10, 2018","No"
"CCBR-935","CCBR","935","Regulation of Ewing sarcoma spheroid invasion","Natasha Caplen","Allison Cross","--","Alexei Lobanov","Completed","Data Analysis","Bulk RNA-seq","Jul 09, 2018","No"
"CCBR-934","CCBR","934","Whole Genome Sequencing","Nicholas Restifo","Devikala Gurusamy","--","--","Completed","Data Analysis","Other","Jul 02, 2018","No"
"CCBR-933","CCBR","933","Saturated mutagenesis of exon","Shyam Sharan","Kajal Biswas","Justin Lack","--","Completed","Data Analysis","Whole Exome Sequencing","Jun 28, 2018","No"
"CCBR-932","CCBR","932","Thymic epithelial cell ATAC-Seq","Avinash Bhandoola","Brian Larsen","Vishal Koparde","--","Completed","Data Analysis","Other","Jun 25, 2018","No"
"CCBR-931","CCBR","931","HNRNPH1 and G4s, alternative splicing and EWS-FLI1","Natasha Caplen","Natasha Caplen","Alexei Lobanov","--","Completed","Data Analysis","Bulk RNA-seq","Jun 25, 2018","No"
"CCBR-930","CCBR","930","GWAS sequencing of CZechII Mammary Gland DNA","Gilbert Smith","Jabril Johnson","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Whole Genome Sequencing","Jun 25, 2018","No"
"CCBR-928","CCBR","928","RNA transcriptome of NT2 cell alone and in chimeras","Gilbert Smith","Lauren Ragle","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Other","Jun 22, 2018","No"
"CCBR-926","CCBR","926","RNA sequencing and ATAC sequencing data","Nicholas Restifo","Devikala Gurusamy","Alexei Lobanov","--","Completed","Data Analysis","Other","Jun 21, 2018","No"
"CCBR-925","CCBR","925","RelA/RelB in ovarian cancer","Christina Annunziata","Carrie House","Nathan Wong","Alexandra Emmons; Joe Wu","Completed","Data Analysis","Bulk RNA-seq;ChIP-Seq;miRNA-Seq;Other","Jun 18, 2018","No"
"CCBR-567","CCBR","567","Effect of MARCH1 KO on Dendritic cell function","Paul Roche","Joanna Bandola-simon","Nathan Wong","--","Completed","Data Analysis","Bulk RNA-seq","Jun 15, 2018","No"
"CCBR-924","CCBR","924","Single cell RNA seq","Louis Staudt","Margaret Wat","Ying Hu","--","Re Assigned","Data Analysis","Bulk RNA-seq","Jun 13, 2018","No"
"CCBR-923","CCBR","923","Differential mRNA expression in Th17 skewing conditions","Jonathan Ashwell","Muhammad Alam","Daoud Meerzaman","--","Re Assigned","Data Analysis","Bulk RNA-seq","Jun 12, 2018","No"
"CCBR-529","CCBR","529","RNA-Seq in pre-metastatic lung tissues from breast cancer mouse model","Stuart Yuspa","Vanesa Sanchez","Justin Lack","--","Completed","Data Analysis","Bulk RNA-seq","Jun 11, 2018","No"
"CCBR-922","CCBR","922","Vav2","Pengnian Lin","Jingyi Liu","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Jun 08, 2018","No"
"CCBR-921","CCBR","921","RNA-Seq Mongolia","Xin Wang","Anuradha Budhu","--","--","Completed","Data Analysis","Bulk RNA-seq","Jun 07, 2018","No"
"CCBR-759","CCBR","759","RNA-Seq_STAT-KD_PDXs","Kathleen Siebenlist","Supreet Agarwal","--","--","Cancelled","Data Analysis","Bulk RNA-seq","Jun 05, 2018","No"
"CCBR-920","CCBR","920","estimation of HLA LOH frequency in HNSCC patients","Christian Hinrichs","Andrew Sinkoe","Thomas Meyer","--","Completed","Data Analysis","Whole Exome Sequencing","May 31, 2018","No"
"CCBR-719","CCBR","719","Testing anti-hIL-7R monoclonal antibodies as novel therapeutics for pediatric T cell acute lymphoblastic leukemia","Scott Durum","Julie Hixon","Abdalla Abdelmaksoud","Nathan Wong","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","May 28, 2018","No"
"CCBR-539","CCBR","539","Finding Thpok gene targets using ChIP-Seq","Remy Bosselut","Jia Nie","Vishal Koparde","--","Completed","Data Analysis","ChIP-Seq","May 25, 2018","No"
"CCBR-919","CCBR","919","Effect of CVT on transcription","Jadranka Loncarek","Catherine Sullenberger","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","May 18, 2018","No"
"CCBR-918","CCBR","918","Single cell RNA seq analysis in blood of adoptive T cell therapy for patients with advanced HPV-16+ cancer","Christian Hinrichs","Nisha Nagarsheth","Nathan Wong","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","May 16, 2018","No"
"CCBR-917","CCBR","917","NAMPT Inhibitor Resistant Cell Lines","Piyush Agarwal","Mamatha Garige","Nathan Wong","--","Completed","Data Analysis","Bulk RNA-seq","May 15, 2018","No"
"CCBR-916","CCBR","916","BCMA Heavy Chain RNA Seq","James Kochenderfer","Norris Lam","Justin Lack","--","Completed","Data Analysis","Bulk RNA-seq","May 11, 2018","No"
"CCBR-915","CCBR","915","Analysis of CEBPD and IL6 in breast cancer","Gisela Sterneck","Gisela Sterneck","--","--","Completed","Data Analysis","Data Mining/Management/Integration","May 02, 2018","No"
"CCBR-914","CCBR","914","TCre Vs Col2Cre RNAseq in Neonatal Tibiae","Alan Perantoni","Michael Hall","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Bulk RNA-seq","May 01, 2018","No"
"CCBR-908","CCBR","908","Characterizing innate lymphoid progenitors","Avinash Bhandoola","Avinash Bhandoola","Nathan Wong","--","Completed","Data Analysis","Bulk RNA-seq","Apr 24, 2018","No"
"CCBR-913","CCBR","913","Single cell sequencing immune landscape evolution","Li Yang","Mary Hollander","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Apr 13, 2018","No"
"CCBR-912","CCBR","912","Genomewide expression analysis in G608G progeria disease mice treated with antisense oligonucleotides","Thomas Misteli","Madaiah Puttaraju","Parthav Jailwala","--","Completed","Data Analysis","Bulk RNA-seq","Apr 13, 2018","No"
"CCBR-911","CCBR","911","CRISPR project for glioblastoma treatment resistance","Chun zhang Yang","Aiguo Li","Nathan Wong","--","Completed","Data Analysis","Other","Apr 10, 2018","No"
"CCBR-750","CCBR","750","Genome wide expression of H2AX-deficient or H2AX-knockout cells lines (related to Project CCBR-442)","William Bonner","Sossou Weyemi","Parthav Jailwala","--","Completed","Data Analysis","Microarray","Apr 10, 2018","No"
"CCBR-698","CCBR","698","Effect of genetic risk factors on progression to end stage kidney disease in African American kidney donors","Cheryl Winkler","Cheryl Winkler","George Nelson","--","Completed","Data Analysis","Other","Apr 03, 2018","No"
"CCBR-910","CCBR","910","HMGN1 (N1) and R848 synergy on human Monocyte derived Dendritic cells","Joost Oppenheim","Md masud Alam","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Mar 19, 2018","No"
"CCBR-903","CCBR","903","Chem-Seq Analysis","Joel Schneider","Ken Ishikawa","Alexei Lobanov","--","Completed","Data Analysis","ChIP-Seq","Mar 15, 2018","No"
"CCBR-909","CCBR","909","Cardiac IFN-g high expressor 1","Howard Young","John Fenimore","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Mar 07, 2018","No"
"CCBR-907","CCBR","907","RNA-Seq analysis of the metabolic basis of graft-versus-host disease","Nataliya Buxbaum","Christopher Ricketts","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Mar 05, 2018","No"
"CCBR-901","CCBR","901","RNA-Seq analysis: T-ALL mouse cell lines","Scott Durum","Emilee Senkevitch","Justin Lack","--","Completed","Data Analysis","Bulk RNA-seq","Mar 01, 2018","No"
"CCBR-905","CCBR","905","Hippocampal Rbfox1 upregulation - RNAseq","Lino Tessarollo","Tomassoni Ardori","Skyler Kuhn","--","Completed","Data Analysis","Bulk RNA-seq","Feb 23, 2018","No"
"CCBR-904","CCBR","904","AR in RCC: RNAseq","William Linehan","Dinuka De Silva","Parthav Jailwala","--","Completed","Data Analysis","Bulk RNA-seq","Feb 14, 2018","No"
"CCBR-902","CCBR","902","Creatine metabolism in Non-small cell lung cancer","Curtis Harris","Amelia Parker","Justin Lack","--","Completed","Training","Data Mining/Management/Integration","Feb 08, 2018","No"
"CCBR-740","CCBR","740","Pathway analysis of Spheroid vs Attached groups","Christina Annunziata","Carrie House","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Microarray","Feb 01, 2018","No"
"CCBR-900","CCBR","900","Low coverage whole genome sequencing to detect gain or loss of the copy number","John Brognard","Pedro Torres-ayuso","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Whole Genome Sequencing","Jan 29, 2018","No"
"CCBR-899","CCBR","899","OMV RNAseq","Curtis Harris","Tomer Cooks","--","--","Cancelled","Experimental Design","Bulk RNA-seq","Jan 24, 2018","No"
"CCBR-898","CCBR","898","Ovarian Cell Line Copy Number Analysis","John Brognard","Christina Young","--","--","Cancelled","Data Analysis","Data Mining/Management/Integration","Jan 17, 2018","No"
"CCBR-897","CCBR","897","Rpn13 regulation of Uch37","Kylie Walters","Kylie Walters","--","--","Completed","Data Analysis","Bulk RNA-seq","Jan 16, 2018","No"
"CCBR-896","CCBR","896","SILAC","Terry Fry","Yinmeng Yang","Ying Hu","--","Re Assigned","Data Analysis","Other","Jan 16, 2018","No"
"CCBR-670","CCBR","670","Cottontail Rabbit Papillomavirus (CRPV)","Zhi ming Zheng","Vladimir Majerciak","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Dec 26, 2017","No"
"CCBR-609","CCBR","609","Drug Resistance Variants in BRAF mutant cell lines","Electron Kebebew","Myriem Boufraqech","Justin Lack","--","Completed","Data Analysis","Whole Exome Sequencing","Dec 15, 2017","No"
"CCBR-729","CCBR","729","N-Myc Interactome: mining GEO ChIP-Seq data","Carol Thiele","Zhihui Liu","Vishal Koparde","--","Completed","Data Analysis","ChIP-Seq","Dec 12, 2017","No"
"CCBR-820","CCBR","820","Tumor factors relevant to Immunotherapy","Nicholas Restifo","Nicholas Restifo","Margaret Cam","--","Completed","Data Analysis","Data Mining/Management/Integration","Dec 11, 2017","No"
"CCBR-678","CCBR","678","Converting GEO data to TDF or BW","Ashish Lal","Ashish Lal","--","--","Cancelled","Other","Other","Dec 11, 2017","No"
"CCBR-895","CCBR","895","Exceptional responders","Christina Annunziata","Christina Annunziata","Justin Lack","--","Completed","Data Analysis","Whole Genome Sequencing","Nov 29, 2017","No"
"CCBR-894","CCBR","894","PKI and GPCRs","Ramiro Iglesias Bartolome","Ramiro Iglesias Bartolome","Skyler Kuhn","--","Completed","Data Analysis","Bulk RNA-seq","Nov 29, 2017","No"
"CCBR-893","CCBR","893","Long noncoding RNA profiles of adrenocortical cancer","Electron Kebebew","Floryne Buishand","Daoud Meerzaman","--","Re Assigned","Data Analysis","Microarray","Nov 22, 2017","No"
"CCBR-721","CCBR","721","Manuscript support for TNIK study","John Brognard","John Brognard","George Nelson","--","Completed","Data Analysis","Other","Nov 17, 2017","No"
"CCBR-892","CCBR","892","TP53 clonality in pulmonary metastases of adrenal cancer","Robert Ripley","Winifred Lo","--","--","Cancelled","Experimental Design","Whole Exome Sequencing","Nov 16, 2017","No"
"CCBR-667","CCBR","667","lncRNA in Mouse Papilloma Virus Infection","Zhi ming Zheng","Haibin Liu","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq","Nov 08, 2017","No"
"CCBR-891","CCBR","891","Study of tumor dormancy","Li Yang","Olga Aprelikova","Alexei Lobanov","--","Completed","Data Analysis","Bulk RNA-seq","Nov 02, 2017","No"
"CCBR-888","CCBR","888","Biomarkers of Response MEL10-022 & 25 studies","Shyam Sharan","Rajaa El Meskini","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Microarray","Oct 23, 2017","No"
"CCBR-862","CCBR","862","Biomarkers of refractory and relapsed disease","Michael Gottesman","Sachi Horibata","Justin Lack","--","Completed","Data Analysis","Whole Exome Sequencing","Oct 17, 2017","No"
"CCBR-887","CCBR","887","HPV+ cancer E7 TCR project","Christian Hinrichs","Nisha Nagarsheth","Thomas Meyer","--","Completed","Data Analysis","Bulk RNA-seq;Whole Exome Sequencing","Oct 13, 2017","No"
"CCBR-886","CCBR","886","Comparative RNAseq in two samples","Giovanna Tosato","Taekyu Ha","Parthav Jailwala","Thomas Meyer","Primary Analysis Completed","Data Analysis","Bulk RNA-seq;Whole Genome Sequencing","Oct 12, 2017","No"
"CCBR-885","CCBR","885","ATAC-Bing","Michael Bustin","Michael Bustin","Alexei Lobanov","--","Completed","Data Analysis","Other","Oct 10, 2017","No"
"CCBR-884","CCBR","884","NRF2 ChIP-Seq","Chun zhang Yang","Chun zhang Yang","Vishal Koparde","--","Completed","Training","ChIP-Seq","Oct 10, 2017","No"
"CCBR-883","CCBR","883","WES of secondary histiocytic/dendritic cell sarcoma","Elaine Jaffe","Caoimhe Egan","Justin Lack","--","Completed","Data Analysis","Whole Exome Sequencing","Oct 09, 2017","No"
"CCBR-882","CCBR","882","Motif analysis","Stavroula Mili","Stavroula Mili","Richard Finney","--","Completed","Data Analysis","Data Mining/Management/Integration","Oct 06, 2017","No"
"CCBR-881","CCBR","881","FASLG positive correlated genes in TCGA","Nicholas Restifo","Tori Yamamoto","--","--","Cancelled","Data Analysis","Data Mining/Management/Integration","Oct 05, 2017","No"
"CCBR-880","CCBR","880","Whole genome sequencing of MHCII mutant mice","Alfred Singer","Mohamed Badr","Justin Lack","--","Completed","Data Analysis","Whole Genome Sequencing","Oct 05, 2017","No"
"CCBR-869","CCBR","869","Single cell analysis of podocytes from liquid biopsies","Cheryl Winkler","Cheryl Winkler","George Nelson","Vicky Chen","Completed","Data Analysis","Single-cell Seq (RNA/ATAC/etc Seq)","Oct 05, 2017","No"
"CCBR-879","CCBR","879","Role of PADI4 in breast cancer progression","Lalage Wakefield","Nellie Moshkovich","Ajeet Mandal","--","Completed","Data Analysis","Microarray","Sep 29, 2017","No"
"CCBR-878","CCBR","878","Gene expression analysis of anti-BCMA CAR T cells","James Kochenderfer","James Kochenderfer","Richard Finney","Justin Lack","Completed","Data Analysis","Bulk RNA-seq;Long-read technologies","Sep 26, 2017","No"
"CCBR-877","CCBR","877","Foxn1 RE human mutations","Avinash Bhandoola","Brian Larsen","Justin Lack","--","Completed","Data Analysis","Other","Sep 21, 2017","No"
"CCBR-876","CCBR","876","Expression of DUOX2 gene in HT29 colon cancer cells treated with cytokines","James Doroshow","Juhasz Agnes","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Bulk RNA-seq","Sep 15, 2017","No"
"CCBR-812","CCBR","812","Targeted circulating DNA Sequencing","Liang Cao","Zhigang Kang","--","--","Cancelled","Data Analysis","Other","Sep 15, 2017","No"
"CCBR-875","CCBR","875","Arf1's function in embryonic liver cells","Steven Hou","Jiangsha Zhao","Margaret Cam","--","Completed","Data Analysis","Bulk RNA-seq","Sep 14, 2017","No"
"CCBR-797","CCBR","797","NGS on mitochondrial DNA from Czech mammary outgrowth","Gilbert Smith","Jabril Johnson","Justin Lack","--","Completed","Data Analysis","Whole Genome Sequencing","Aug 29, 2017","No"
"CCBR-874","CCBR","874","15-C-0005 HPV-16 E6 TCR for Metastatic HPV Tumors","Christian Hinrichs","Stacey Doran","Ying Hu","--","Re Assigned","Data Analysis","Other","Aug 24, 2017","No"
"CCBR-713","CCBR","713","Epigenetic Regulation in breast metastasis","Li Yang","Jae young So","Alexei Lobanov","--","Completed","Data Analysis","ChIP-Seq;Single-cell Seq (RNA/ATAC/etc Seq);Other","Aug 22, 2017","No"
"CCBR-873","CCBR","873","Whole Exome of HGPS progeria","Curtis Harris","Natalia Von Muhlinen","--","--","Cancelled","Data Analysis","Whole Exome Sequencing","Aug 18, 2017","No"
"CCBR-872","CCBR","872","ChIPseq analysis of T/Bra,Oct4 and Nkx1-2 in NMPs","Terence Yamaguchi","Ravindra Chalamalasetty","Vishal Koparde","--","Completed","Data Analysis","ATAC-Seq;ChIP-Seq","Aug 17, 2017","No"
"CCBR-870","CCBR","870","Thymocyte Migration","Alfred Singer","Tejas Kadakia","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Bulk RNA-seq","Aug 07, 2017","No"
"CCBR-796","CCBR","796","Egr2 Regulation of Immune System","Vanja Lazarevic","Yan Wang","Vishal Koparde","--","Completed","Data Analysis","ChIP-Seq;Data Mining/Management/Integration","Aug 07, 2017","No"
"CCBR-711","CCBR","711","Effects of Vav1 on hypoxia, growth factor starvation, and turbulence flow mediated gene expression in endothelial cells","Pengnian Lin","Pengnian Lin","Ajeet Mandal","--","Completed","Data Analysis","Bulk RNA-seq","Aug 03, 2017","No"
"CCBR-868","CCBR","868","Transcriptome of colon organoids cocultured with macrophages +/- IL-27","Scott Durum","Caroline Andrews","Margaret Cam","--","In Progress","Data Analysis","Bulk RNA-seq","Jul 31, 2017","No"
"CCBR-680","CCBR","680","Effects of treatment on Lipid Metabolism in Hepatitis C Virus Infection","David Kleiner","David Kleiner","Margaret Cam","--","Completed","Data Analysis","Microarray","Jul 31, 2017","No"
"CCBR-867","CCBR","867","Role of IKKa in histone modification","Yinling Hu","Feng Zhu","Daoud Meerzaman","--","Re Assigned","Data Analysis","ChIP-Seq","Jul 28, 2017","No"
"CCBR-866","CCBR","866","Investigations of RNA/mRNA acetylation","Jordan Meier","Jordan Meier","Vishal Koparde","--","Completed","Other","Bulk RNA-seq","Jul 25, 2017","No"
"CCBR-865","CCBR","865","MB453/ZR751 KRAS Pilot","Stanley Lipkowitz","Yoshimi Greer","Vishal Koparde","--","Completed","Data Analysis","Bulk RNA-seq","Jul 24, 2017","No"
"CCBR-864","CCBR","864","RNA-seq, mRNA changes in virally infected cells","Joseph Ziegelbauer","Anna Serquina","Vishal Koparde","--","Completed","Data Analysis","Bulk RNA-seq","Jul 21, 2017","No"
"CCBR-658","CCBR","658","TRIM22 control of HIV-2 progression","Mary Carrington","George Nelson","George Nelson","--","Completed","Data Analysis","Other","Jul 20, 2017","No"
"CCBR-792","CCBR","792","Transcription Factor transduced CLP","Avinash Bhandoola","Avinash Bhandoola","Margaret Cam","--","Completed","Data Analysis","Bulk RNA-seq","Jul 14, 2017","No"
"CCBR-791","CCBR","791","EILP Knockout","Avinash Bhandoola","Avinash Bhandoola","Margaret Cam","--","Completed","Data Analysis","Bulk RNA-seq;Single-cell Seq (RNA/ATAC/etc Seq)","Jul 14, 2017","No"
"CCBR-790","CCBR","790","Myc-TCF","Avinash Bhandoola","Avinash Bhandoola","Margaret Cam","--","Completed","Data Analysis","Bulk RNA-seq","Jul 14, 2017","No"
"CCBR-863","CCBR","863","Replication origins and transcription","Mirit Aladjem","Christophe Redon","Richard Finney","--","Completed","Data Analysis","Other","Jul 07, 2017","No"
"CCBR-861","CCBR","861","Investigate mutation in cancer genomics","Chun zhang Yang","Chun zhang Yang","--","--","Cancelled","Data Analysis","Whole Exome Sequencing","Jun 30, 2017","No"
"CCBR-860","CCBR","860","MSLN KO KLM1 comparison","Christine Alewine","Leela rani Avula","Jack Chen","--","Completed","Data Analysis","Bulk RNA-seq","Jun 30, 2017","No"
"CCBR-859","CCBR","859","P38","Nicholas Restifo","Devikala Gurusamy","Fathi Elloumi","--","Completed","Training","Bulk RNA-seq","Jun 13, 2017","No"
"CCBR-858","CCBR","858","RNA-seq analysis of patient RNA samples for Dr. J.M. Lee","Jung-min Lee","Jayakumar Nair","Abdalla Abdelmaksoud","--","Completed","Data Analysis","Bulk RNA-seq","Jun 08, 2017","No"
"CCBR-798","CCBR","798","Effect of Sigma 54 stapled peptides in E. Coli RNA","Federico Bernal","Sterling Payne","Jack Chen","--","Completed","Data Analysis","Bulk RNA-seq","Jun 07, 2017","No"
"CCBR-857","CCBR","857","Analysis of chromatin remodeling & lamin A/C in myeloid cells","Li Yang","Hiroki Ishii","Skyler Kuhn","--","Completed","Data Analysis","Bulk RNA-seq","Jun 05, 2017","No"
"CCBR-856","CCBR","856","Identification of regulatory elements for Foxn1","Avinash Bhandoola","Brian Larsen","Richard Finney","--","Completed","Data Analysis","Other","Jun 02, 2017","No"
"CCBR-855","CCBR","855","Kraken Analysis","David Wink","Yuk sing Cheng","--","--","Cancelled","Data Analysis","Bulk RNA-seq","Jun 01, 2017","No"
